(0, 19, 1)
(1, 91, 0)
(1, 7, 2)
(2, 99, 1)
(2, 24, 3)
(3, 16, 2)
(3, 44, 4)
(4, 51, 3)
(4, 82, 5)
(5, 96, 4)
(5, 21, 6)
(6, 84, 5)
(6, 47, 7)
(7, 96, 6)
(7, 12, 8)
(8, 43, 7)
(8, 61, 9)
(9, 39, 8)
(9, 93, 10)
(10, 66, 9)
(10, 10, 11)
(11, 61, 10)
(11, 55, 12)
(12, 43, 11)
(12, 100, 13)
(13, 37, 12)
(13, 45, 14)
(14, 50, 13)
(14, 73, 15)
(15, 19, 14)
(15, 15, 16)
(16, 88, 15)
(16, 73, 17)
(17, 41, 16)
(17, 73, 18)
(18, 29, 17)
(18, 53, 19)
(19, 71, 18)
(19, 73, 20)
(20, 47, 19)
(20, 92, 21)
(21, 71, 20)
(21, 28, 22)
(22, 78, 21)
(22, 1, 23)
(23, 5, 22)
(23, 82, 24)
(24, 25, 23)
(24, 58, 25)
(25, 91, 24)
(25, 31, 26)
(26, 69, 25)
(26, 11, 27)
(27, 77, 26)
(27, 59, 28)
(28, 34, 27)
(28, 27, 29)
(29, 92, 28)
(29, 40, 30)
(30, 100, 29)
(30, 59, 31)
(31, 36, 30)
(31, 50, 32)
(32, 77, 31)
(32, 77, 33)
(33, 64, 32)
(33, 36, 34)
(34, 99, 33)
(34, 69, 35)
(35, 77, 34)
(35, 36, 36)
(36, 22, 35)
(36, 24, 37)
(37, 89, 36)
(37, 32, 38)
(38, 64, 37)
(38, 37, 39)
(39, 33, 38)
(39, 7, 40)
(40, 73, 39)
(40, 85, 41)
(41, 48, 40)
(41, 39, 42)
(42, 31, 41)
(42, 74, 43)
(43, 1, 42)
(43, 50, 44)
(44, 98, 43)
(44, 87, 45)
(45, 75, 44)
(45, 2, 46)
(46, 28, 45)
(46, 94, 47)
(47, 75, 46)
(47, 30, 48)
(48, 92, 47)
(48, 21, 49)
(49, 30, 48)
(49, 11, 0)
(37, 20, 0)
(16, 98, 37)
(41, 34, 37)
(37, 72, 24)
(1, 42, 5)
(11, 51, 20)
(32, 93, 16)
(20, 57, 32)
(36, 98, 46)
(6, 98, 24)
(0, 9, 19)
(41, 8, 15)
(3, 19, 28)
(30, 73, 26)
(26, 69, 2)
(1, 34, 49)
(34, 95, 6)
(34, 91, 28)
(42, 9, 44)
(31, 23, 12)
(47, 27, 49)
(21, 12, 44)
(23, 36, 21)
(38, 28, 19)
(7, 18, 42)
(6, 17, 9)
(25, 88, 34)
(26, 4, 41)
(2, 100, 38)
(6, 16, 32)
(4, 32, 20)
(23, 44, 31)
(13, 60, 4)
(41, 5, 14)
(35, 1, 11)
(12, 77, 12)
(11, 94, 3)
(37, 87, 15)
(9, 16, 23)
(26, 7, 20)
(5, 75, 36)
(9, 17, 31)
(32, 40, 43)
(32, 52, 15)
(39, 21, 34)
(13, 89, 49)
(31, 44, 40)
(27, 40, 40)
(37, 44, 37)
(44, 77, 39)
(32, 49, 45)
(33, 84, 10)
(29, 31, 47)
(21, 100, 10)
(43, 85, 45)
(14, 80, 42)
(42, 57, 40)
(27, 64, 0)
(43, 88, 2)
(20, 64, 1)
(20, 60, 27)
(2, 6, 15)
(17, 26, 9)
(16, 31, 43)
(29, 68, 39)
(23, 52, 6)
(29, 13, 5)
(41, 21, 44)
(45, 23, 38)
(30, 75, 6)
(11, 73, 30)
(32, 72, 18)
(33, 95, 18)
(9, 73, 17)
(42, 72, 1)
(35, 12, 49)
(5, 30, 45)
(8, 35, 40)
(15, 1, 41)
(23, 41, 40)
(36, 55, 48)
(26, 97, 23)
(2, 35, 25)
(18, 9, 40)
(36, 92, 27)
(44, 69, 1)
(35, 52, 48)
(45, 74, 42)
(5, 24, 24)
(5, 8, 42)
(49, 17, 43)
(43, 93, 24)
(0, 83, 26)
(16, 25, 4)
(24, 1, 4)
(42, 56, 12)
(36, 90, 15)
(24, 71, 15)
(18, 16, 20)
(48, 87, 11)
(19, 63, 33)
(0, 16, 21)
(18, 74, 11)
(15, 46, 4)
(26, 28, 35)
(21, 69, 34)
(44, 68, 23)
(11, 60, 7)
(17, 34, 46)
(32, 74, 21)
(45, 40, 11)
(34, 95, 32)
(7, 27, 11)
(4, 92, 13)
(7, 16, 21)
(24, 9, 27)
(44, 28, 9)
(14, 56, 24)
(9, 99, 3)
(13, 21, 8)
(26, 4, 11)
(10, 38, 38)
(30, 70, 5)
(28, 37, 37)
(22, 4, 37)
(12, 7, 0)
(13, 22, 43)
(18, 96, 32)
(9, 26, 48)
(29, 64, 4)
(16, 76, 9)
(28, 22, 38)
(6, 83, 18)
(12, 32, 41)
(14, 49, 40)
(11, 1, 18)
(19, 30, 4)
(38, 55, 33)
(41, 73, 41)
(45, 21, 24)
(40, 24, 44)
(34, 20, 16)
(10, 92, 7)
(3, 98, 15)
(8, 8, 3)
(24, 19, 6)
(34, 60, 2)
(6, 36, 17)
(0, 2, 48)
(46, 64, 4)
(18, 95, 1)
(23, 90, 15)
(36, 35, 43)
(6, 68, 3)
(30, 7, 39)
(38, 20, 40)
(41, 74, 18)
(42, 97, 34)
(32, 96, 26)
(47, 2, 26)
(25, 81, 21)
(29, 92, 32)
(39, 25, 26)
(26, 20, 7)
(36, 4, 20)
(25, 10, 5)
(22, 93, 40)
(24, 90, 48)
(39, 4, 13)
(16, 13, 40)
(44, 36, 47)
(12, 19, 49)
(10, 71, 2)
(1, 65, 39)
(5, 39, 19)
(42, 76, 39)
(16, 68, 25)
(40, 26, 48)
(27, 76, 41)
(38, 73, 9)
(8, 80, 36)
(14, 95, 35)
(4, 29, 32)
(14, 47, 45)
(10, 93, 36)
(24, 25, 38)
(28, 49, 2)
(21, 18, 26)
(48, 61, 9)
(17, 87, 30)
(27, 70, 29)
(4, 42, 25)
(32, 2, 9)
(18, 28, 48)
(36, 75, 24)
(29, 19, 24)
(34, 33, 0)
(38, 70, 45)
(48, 10, 12)
(7, 21, 10)
(24, 83, 44)
(21, 39, 11)
(34, 27, 3)
(8, 25, 12)
(33, 98, 38)
(21, 99, 3)
(31, 46, 31)
(5, 51, 39)
(49, 27, 28)
(43, 45, 46)
(39, 55, 33)
(27, 86, 27)
(9, 10, 38)
(7, 53, 46)
(23, 75, 25)
(32, 37, 28)
(40, 14, 43)
(30, 89, 11)
(35, 78, 20)
(26, 68, 30)
(30, 61, 9)
(40, 86, 11)
(1, 3, 31)
(24, 21, 49)
(27, 73, 10)
(33, 96, 44)
(23, 42, 27)
(33, 89, 25)
(3, 93, 9)
(14, 14, 33)
(33, 94, 17)
(16, 35, 48)
(1, 91, 38)
(47, 15, 42)
(35, 69, 39)
(24, 71, 13)
(32, 13, 30)
(16, 95, 49)
(42, 29, 13)
(39, 39, 49)
(18, 37, 21)
(34, 13, 40)
(35, 28, 22)
(3, 17, 24)
(41, 77, 31)
(28, 54, 11)
(39, 41, 16)
(40, 94, 1)
(40, 26, 27)
(38, 49, 26)
(17, 59, 38)
(46, 51, 42)
(47, 76, 0)
(3, 54, 34)
(30, 35, 24)
(9, 9, 20)
(42, 2, 36)
(32, 66, 25)
(9, 19, 5)
(36, 72, 22)
(48, 1, 14)
(35, 94, 8)
(9, 48, 15)
(42, 47, 46)
(33, 97, 40)
(16, 47, 24)
(23, 77, 33)
(4, 14, 42)
(49, 86, 11)
(36, 71, 17)
(46, 82, 13)
(1, 83, 17)
(8, 80, 26)
(38, 76, 4)
(48, 44, 45)
(43, 50, 13)
(19, 45, 11)
(23, 63, 35)
(43, 92, 43)
(46, 12, 37)
(0, 35, 7)
(19, 94, 38)
(30, 27, 17)
(41, 93, 24)
(7, 13, 17)
(8, 24, 2)
(15, 91, 31)
(41, 13, 28)
(14, 17, 30)
(40, 89, 10)
(42, 3, 33)
(25, 58, 23)
(31, 75, 49)
(7, 54, 34)
(33, 7, 35)
(45, 82, 47)
(30, 16, 12)
(46, 98, 23)
(24, 95, 14)
(45, 92, 5)
(18, 21, 14)
(48, 36, 30)
(24, 79, 12)
(2, 18, 16)
(21, 26, 1)
(4, 30, 1)
(19, 80, 21)
(44, 5, 26)
(26, 3, 6)
(44, 10, 14)
(2, 77, 11)
(10, 85, 41)
(47, 85, 35)
(19, 66, 34)
(26, 51, 10)
(16, 75, 23)
(22, 69, 19)
(19, 93, 24)
(48, 9, 19)
(40, 27, 29)
(9, 65, 11)
(6, 91, 8)
(2, 26, 43)
(48, 70, 0)
(9, 44, 42)
(2, 38, 8)
(33, 96, 27)
(21, 66, 23)
(34, 13, 25)
(9, 97, 25)
(22, 91, 12)
(2, 33, 0)
(6, 84, 15)
(17, 28, 12)
(43, 37, 7)
(28, 91, 34)
(47, 79, 25)
(15, 71, 17)
(24, 66, 35)
(47, 72, 11)
(41, 45, 32)
(2, 73, 2)
(4, 42, 0)
(8, 42, 23)
(47, 95, 43)
(10, 5, 29)
(26, 94, 33)
(48, 14, 41)
(33, 29, 24)
(41, 77, 26)
(15, 73, 7)
(10, 13, 3)
(23, 94, 32)
(39, 13, 35)
(4, 36, 46)
(39, 48, 24)
(34, 24, 9)
(8, 8, 1)
(19, 81, 45)
(31, 36, 24)
(17, 11, 40)
(15, 8, 29)
(25, 44, 46)
(31, 65, 26)
(8, 43, 18)
(17, 100, 41)
(6, 69, 0)
(42, 40, 26)
(48, 10, 13)
(35, 78, 45)
(49, 40, 20)
(0, 15, 17)
(21, 29, 15)
(32, 34, 36)
(47, 59, 23)
(20, 41, 4)
(43, 43, 10)
(7, 90, 47)
(47, 15, 47)
(45, 93, 49)
(28, 40, 48)
(13, 15, 11)
(43, 13, 1)
(27, 8, 46)
(47, 88, 19)
(19, 28, 47)
(19, 96, 43)
(2, 20, 24)
(15, 48, 34)
(17, 15, 4)
(3, 41, 11)
(15, 73, 42)
(14, 5, 5)
(13, 40, 27)
(15, 78, 8)
(14, 15, 3)
(36, 77, 45)
(8, 47, 38)
(7, 88, 28)
(44, 41, 15)
(10, 72, 35)
(48, 93, 39)
(14, 21, 39)
(36, 16, 0)
(42, 79, 18)
(18, 32, 49)
(15, 46, 20)
(23, 38, 3)
(33, 100, 19)
(19, 64, 23)
(3, 48, 44)
(11, 44, 6)
(18, 26, 42)
(17, 10, 0)
(2, 98, 18)
(32, 6, 22)
(1, 70, 42)
(19, 88, 9)
(32, 57, 37)
(1, 65, 29)
(41, 8, 20)
(14, 89, 36)
(1, 96, 10)
(42, 66, 6)
(31, 24, 27)
(10, 92, 43)
(22, 53, 9)
(28, 95, 9)
(25, 21, 8)
(18, 3, 25)
(15, 46, 48)
(17, 3, 42)
(32, 67, 12)
(27, 31, 35)
(37, 82, 4)
(25, 32, 30)
(6, 85, 29)
(2, 96, 29)
(9, 22, 44)
(33, 86, 0)
(10, 92, 17)
(28, 81, 20)
(19, 12, 19)
(7, 7, 1)
(34, 22, 21)
(28, 66, 41)
(40, 89, 37)
(8, 38, 33)
(2, 74, 46)
(13, 31, 16)
(3, 26, 22)
(15, 69, 23)
(16, 18, 33)
(27, 3, 8)
(14, 90, 32)
(23, 88, 19)
(7, 79, 27)
(19, 71, 22)
(4, 73, 38)
(0, 23, 10)
(6, 41, 49)
(26, 3, 4)
(5, 91, 37)
(29, 85, 36)
(26, 15, 45)
(45, 19, 22)
(49, 50, 2)
(0, 84, 43)
(22, 42, 11)
(24, 6, 33)
(46, 16, 6)
(48, 15, 27)
(21, 45, 32)
(24, 50, 39)
(27, 22, 22)
(10, 75, 23)
(1, 35, 13)
(2, 20, 37)
(38, 66, 8)
(33, 58, 28)
(30, 94, 49)
(16, 21, 3)
(20, 5, 35)
(34, 64, 8)
(35, 84, 26)
(34, 63, 13)
(27, 92, 49)
(2, 19, 41)
(38, 95, 42)
(17, 53, 8)
(46, 93, 21)
(1, 5, 20)
(16, 82, 14)
(48, 57, 3)
(19, 64, 37)
(33, 7, 21)
(48, 51, 20)
(8, 58, 6)
(26, 74, 47)
(1, 90, 6)
(17, 69, 10)
(37, 63, 31)
(15, 10, 40)
(43, 91, 15)
(45, 55, 36)
(25, 86, 18)
(44, 96, 0)
(32, 76, 27)
(48, 81, 8)
(38, 59, 41)
(10, 19, 45)
(20, 59, 31)
(49, 36, 13)
(8, 74, 8)
(0, 32, 22)
(31, 92, 4)
(41, 73, 23)
(46, 54, 2)
(13, 38, 6)
(9, 85, 27)
(9, 64, 9)
(48, 78, 2)
(33, 59, 20)
(3, 1, 33)
(32, 17, 42)
(19, 40, 26)
(23, 62, 48)
(30, 36, 1)
